Datetime,Open,High,Low,Close,Volume
1609436160000,28646.70000000,28650.87000000,28626.89000000,28632.06000000,24.04354500
1609436220000,28632.05000000,28632.05000000,28547.85000000,28563.80000000,71.98065000
1609436280000,28563.81000000,28587.91000000,28563.80000000,28587.54000000,43.52797900
1609436340000,28587.55000000,28608.73000000,28587.55000000,28608.72000000,30.86182900
1609436400000,28608.73000000,28633.02000000,28605.97000000,28621.76000000,42.40200600
1609436460000,28621.75000000,28626.31000000,28605.99000000,28606.42000000,19.10159600
1609436520000,28606.43000000,28652.46000000,28606.43000000,28651.16000000,15.97175200
1609436580000,28652.20000000,28676.33000000,28651.16000000,28673.95000000,27.63097900
1609436640000,28673.95000000,28723.68000000,28663.93000000,28710.70000000,98.24596900
1609436700000,28710.70000000,28715.00000000,28685.30000000,28687.71000000,27.46132100
1609436760000,28687.81000000,28700.00000000,28671.04000000,28673.46000000,29.23462300
1609436820000,28670.77000000,28678.51000000,28658.65000000,28665.44000000,24.04057700
1609436880000,28665.43000000,28671.51000000,28649.53000000,28667.19000000,24.95161800
1609436940000,28666.07000000,28696.70000000,28655.73000000,28684.42000000,25.36513400
1609437000000,28683.91000000,28683.92000000,28653.40000000,28653.40000000,54.01349900
1609437060000,28653.26000000,28653.27000000,28620.03000000,28637.46000000,49.93760500
1609437120000,28637.46000000,28637.47000000,28621.53000000,28634.62000000,34.78844400
1609437180000,28634.61000000,28662.02000000,28618.29000000,28623.73000000,30.65985000
1609437240000,28623.71000000,28634.66000000,28586.07000000,28591.15000000,29.97200000
1609437300000,28591.15000000,28612.52000000,28588.80000000,28595.51000000,17.70982900
1609437360000,28595.50000000,28596.95000000,28541.43000000,28543.00000000,57.58348100
1609437420000,28543.01000000,28566.00000000,28520.00000000,28557.04000000,50.60538400
1609437480000,28557.04000000,28568.32000000,28549.13000000,28566.12000000,29.16652900
1609437540000,28566.12000000,28572.74000000,28563.80000000,28571.97000000,17.41807500
1609437600000,28571.97000000,28593.56000000,28532.06000000,28541.53000000,30.61215300
